OBJECTID,COD_DEP,DPTO,COD_MUN,MPIO,HaNatura,HaAgro,HanoAgro,HaOtro,PrPropia,PrArrien,PrAparce,PrUsufru,PrComoda,PrOcupac,PrColect,PrAdjudi,PrOtros,PrMixta,UPA,UPNA,Shape_Length_1,Shape_Area_1,ShapeSTArea,ShapeSTLength
1,99,Vichada,99001,Puerto Carreño,300074,892647.3,6371.8,23477.4,150,3,0,1,0,1,130,0,7,1,1216198.8,6371.8,6.27966975,0.77569085,12317792938.0075,616588.535107498
2,99,Vichada,99524,La Primavera,313276,1530281.5,185.5,19024.1,698,7,0,3,0,1,82,4,26,0,1862581.6,185.5,10.01767964,1.85312764,20415619314.4831,924297.725097498
3,99,Vichada,99624,Santa Rosalía,85270.1,300823.8,0.5,4523.1,140,6,0,0,0,0,77,16,7,1,390617,0.5,2.33384251,0.16180157,2012812969.18138,258220.789071513
4,99,Vichada,99773,Cumaribo,3963209.5,2420787.2,3272.9,169098.8,602,32,6,2,1,3,2984,274,17,7,6553095.5,3272.9,18.43388291,5.30561076,65933330943.3403,2051496.57376088
5,97,Vaupés,97001,Mitú,1593238.4,18965,167.9,16671.5,89,2,2,1,0,1,2453,0,10,0,1628874.9,167.9,6.26963635,1.30781881,16209453254.9358,697796.422273376
6,97,Vaupés,97161,Caruru,568014.6,63804.4,42.7,8188.9,188,1,0,0,0,40,56,0,13,1,640007.9,42.7,4.46330627,0.57047265,7070722296.48712,496589.06842949
7,97,Vaupés,97511,Pacoa,1380915.5,8904.1,0,12577.7,2,0,0,0,0,0,117,0,1,0,1402397.3,0,8.81789648,1.12086367,13889978006.5952,981172.719326703
8,97,Vaupés,97666,Taraira,650992.2,3277.6,0,520.5,166,1,0,0,0,1,8,0,1,0,654790.3,0,6.07067734,0.523657,6489700602.80372,675445.031602052
9,97,Vaupés,97777,Papunaua,545677,9033.6,0,28.8,2,0,0,0,0,0,68,1,1,0,554739.4,0,5.43741127,0.43120437,5345769782.61093,604913.831745896
10,97,Vaupés,97889,Yavaraté,464908.1,1798.5,0,346.9,0,1,0,0,0,0,64,0,0,0,467053.6,0,3.76590203,0.37932035,4700980028.5855,419033.028715878
11,95,Guaviare,95001,San José del Guaviare,1439561.6,221426.8,5451.7,14749.7,2091,138,10,2,2,10,335,0,61,2,1675738.2,5451.7,13.18236262,1.3297516,16494365823.1801,1467081.2574851
12,95,Guaviare,95015,Calamar,1242895.2,126523.1,796.2,1350.4,674,12,2,1,1,1,9,0,12,0,1370768.7,796.2,7.09926272,1.14556445,14201843833.5725,769461.561563649
13,95,Guaviare,95025,El Retorno,1113761.6,118458.6,2967.8,10012.7,784,37,1,1,5,3,313,2,20,0,1242232.9,2967.8,11.53486005,1.00278153,12434813802.8614,1283614.36076486
14,95,Guaviare,95200,Miraflores,1161115.8,108190.5,11916.4,1939.7,512,18,1,5,1,5,376,0,11,0,1271246,11916.4,6.74284979,1.02317389,12682887353.6348,750214.432802779
15,94,Guainía,94001,Inírida,1104506.4,455350.4,473.4,37860.5,454,8,0,176,0,0,1027,9,19,3,1597717.3,473.4,8.84821794,1.28809744,15989264334.0661,985563.059100746
16,94,Guainía,94343,Barranco Minas,846537.1,84405.4,592,20108.3,134,0,2,0,0,0,76,507,5,0,951050.8,592,6.43238419,0.77009091,9558964542.59328,716352.938355275
17,94,Guainía,94663,Mapiripana,482334.5,8410.5,0,2052,0,0,0,0,0,0,6,58,2,0,492797,0,4.49112184,0.38222966,4742167698.94085,500145.311587067
18,94,Guainía,94883,San Felipe,304547.3,4124.2,0.5,190.8,9,0,0,1,0,0,134,0,1,0,308862.4,0.5,3.56098696,0.24520431,3040704795.11852,396313.958324146
19,94,Guainía,94884,Puerto Colombia,1545905.4,21017.1,861.2,2174.8,234,2,0,0,0,0,15,0,0,0,1569097.3,861.2,8.30408923,1.27377198,15799824279.8937,924526.821626643
20,94,Guainía,94885,La Guadalupe,114413.7,5953.4,645.4,205.2,2,0,0,0,0,0,51,0,0,0,120572.3,645.4,1.43436411,0.09706526,1203279886.07091,159518.642846727
21,94,Guainía,94886,Cacahual,233444.3,12.4,0,127.1,6,0,0,0,0,0,74,0,0,0,233583.8,0,2.34690956,0.18497843,2296218608.79614,261422.525805338
22,94,Guainía,94887,Pana Pana,1001906.3,3205.2,0.4,15382.6,18,2,1,0,0,0,99,0,2,0,1020494.1,0.4,7.12532214,0.8208568,10177802875.9825,792909.811624411
23,94,Guainía,94888,Morichal,841309.7,10293.9,0,3895.9,57,0,0,0,0,0,23,4,23,0,855499.6,0,5.6497022,0.69628918,8636414302.71166,628981.840731332
24,91,Amazonas,91001,Leticia,550818.2,30861.3,1401.1,35115.5,277,36,0,2,13,47,1490,0,12,3,616795,1401.1,3.69113144,0.49923257,6199380959.10218,411349.514478508
