OBJECTID,COD_DEP,DPTO,COD_MUN,MPIO,HaNatura,HaAgro,HanoAgro,HaOtro,PrPropia,PrArrien,PrAparce,PrUsufru,PrComoda,PrOcupac,PrColect,PrAdjudi,PrOtros,PrMixta,UPA,UPNA,Shape_Length_1,Shape_Area_1,ShapeSTArea,ShapeSTLength,cluster
1,99.0,Vichada,99001.0,Puerto Carreño,300074.0,892647.3,6371.8,23477.4,150.0,3.0,0.0,1.0,0.0,1.0,130.0,0.0,7.0,1.0,1216198.8,6371.8,6.27966975,0.77569085,12317792938.0075,616588.535107498,1
2,99.0,Vichada,99524.0,La Primavera,313276.0,1530281.5,185.5,19024.1,698.0,7.0,0.0,3.0,0.0,1.0,82.0,4.0,26.0,0.0,1862581.6,185.5,10.01767964,1.85312764,20415619314.4831,924297.725097498,0
3,99.0,Vichada,99624.0,Santa Rosalía,85270.1,300823.8,0.5,4523.1,140.0,6.0,0.0,0.0,0.0,0.0,77.0,16.0,7.0,1.0,390617.0,0.5,2.33384251,0.16180157,2012812969.18138,258220.789071513,1
4,99.0,Vichada,99773.0,Cumaribo,3963209.5,2420787.2,3272.9,169098.8,602.0,32.0,6.0,2.0,1.0,3.0,2984.0,274.0,17.0,7.0,6553095.5,3272.9,18.43388291,5.30561076,65933330943.3403,2051496.57376088,2
5,97.0,Vaupés,97001.0,Mitú,1593238.4,18965.0,167.9,16671.5,89.0,2.0,2.0,1.0,0.0,1.0,2453.0,0.0,10.0,0.0,1628874.9,167.9,6.26963635,1.30781881,16209453254.9358,697796.422273376,0
6,97.0,Vaupés,97161.0,Caruru,568014.6,63804.4,42.7,8188.9,188.0,1.0,0.0,0.0,0.0,40.0,56.0,0.0,13.0,1.0,640007.9,42.7,4.46330627,0.57047265,7070722296.48712,496589.06842949,0
7,97.0,Vaupés,97511.0,Pacoa,1380915.5,8904.1,0.0,12577.7,2.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,1.0,0.0,1402397.3,0.0,8.81789648,1.12086367,13889978006.5952,981172.719326703,0
8,97.0,Vaupés,97666.0,Taraira,650992.2,3277.6,0.0,520.5,166.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,654790.3,0.0,6.07067734,0.523657,6489700602.80372,675445.031602052,0
9,97.0,Vaupés,97777.0,Papunaua,545677.0,9033.6,0.0,28.8,2.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,1.0,0.0,554739.4,0.0,5.43741127,0.43120437,5345769782.61093,604913.831745896,0
10,97.0,Vaupés,97889.0,Yavaraté,464908.1,1798.5,0.0,346.9,0.0,1.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,467053.6,0.0,3.76590203,0.37932035,4700980028.5855,419033.028715878,1
11,95.0,Guaviare,95001.0,San José del Guaviare,1439561.6,221426.8,5451.7,14749.7,2091.0,138.0,10.0,2.0,2.0,10.0,335.0,0.0,61.0,2.0,1675738.2,5451.7,13.18236262,1.3297516,16494365823.1801,1467081.2574851,0
12,95.0,Guaviare,95015.0,Calamar,1242895.2,126523.1,796.2,1350.4,674.0,12.0,2.0,1.0,1.0,1.0,9.0,0.0,12.0,0.0,1370768.7,796.2,7.09926272,1.14556445,14201843833.5725,769461.561563649,0
13,95.0,Guaviare,95025.0,El Retorno,1113761.6,118458.6,2967.8,10012.7,784.0,37.0,1.0,1.0,5.0,3.0,313.0,2.0,20.0,0.0,1242232.9,2967.8,11.53486005,1.00278153,12434813802.8614,1283614.36076486,0
14,95.0,Guaviare,95200.0,Miraflores,1161115.8,108190.5,11916.4,1939.7,512.0,18.0,1.0,5.0,1.0,5.0,376.0,0.0,11.0,0.0,1271246.0,11916.4,6.74284979,1.02317389,12682887353.6348,750214.432802779,0
15,94.0,Guainía,94001.0,Inírida,1104506.4,455350.4,473.4,37860.5,454.0,8.0,0.0,176.0,0.0,0.0,1027.0,9.0,19.0,3.0,1597717.3,473.4,8.84821794,1.28809744,15989264334.0661,985563.059100746,0
16,94.0,Guainía,94343.0,Barranco Minas,846537.1,84405.4,592.0,20108.3,134.0,0.0,2.0,0.0,0.0,0.0,76.0,507.0,5.0,0.0,951050.8,592.0,6.43238419,0.77009091,9558964542.59328,716352.938355275,0
17,94.0,Guainía,94663.0,Mapiripana,482334.5,8410.5,0.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,58.0,2.0,0.0,492797.0,0.0,4.49112184,0.38222966,4742167698.94085,500145.311587067,1
18,94.0,Guainía,94883.0,San Felipe,304547.3,4124.2,0.5,190.8,9.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,1.0,0.0,308862.4,0.5,3.56098696,0.24520431,3040704795.11852,396313.958324146,1
19,94.0,Guainía,94884.0,Puerto Colombia,1545905.4,21017.1,861.2,2174.8,234.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1569097.3,861.2,8.30408923,1.27377198,15799824279.8937,924526.821626643,0
20,94.0,Guainía,94885.0,La Guadalupe,114413.7,5953.4,645.4,205.2,2.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,120572.3,645.4,1.43436411,0.09706526,1203279886.07091,159518.642846727,1
21,94.0,Guainía,94886.0,Cacahual,233444.3,12.4,0.0,127.1,6.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,233583.8,0.0,2.34690956,0.18497843,2296218608.79614,261422.525805338,1
22,94.0,Guainía,94887.0,Pana Pana,1001906.3,3205.2,0.4,15382.6,18.0,2.0,1.0,0.0,0.0,0.0,99.0,0.0,2.0,0.0,1020494.1,0.4,7.12532214,0.8208568,10177802875.9825,792909.811624411,0
